time(ms),T1,R1,T2,R2,,
711.37,104.23,9.74,104.16,9.8,,
711.38,104.45,9.74,104.34,9.8,,
711.41,104.2,9.61,104.33,9.8,,
711.42,104.27,9.61,103.97,9.8,,
711.45,104.22,9.74,104.33,9.8,,
711.46,104.23,9.74,104.34,9.8,,
711.48,104.43,9.74,104.14,9.8,,
711.5,104.27,9.74,104.13,9.8,,
711.52,104.23,9.74,104.17,9.81,,
711.53,104.25,9.74,104.14,9.81,,
711.56,104.22,9.74,104.11,9.8,,
711.57,104.42,9.74,104.14,9.8,,
711.6,104.37,9.74,104.33,9.8,,
711.61,104.03,9.74,104.14,9.8,,
711.64,104.23,9.74,104.14,9.8,,
711.65,104.42,9.74,104.17,9.8,,
711.67,104.19,9.6,104.36,9.8,,
711.69,104.25,9.6,104.29,9.8,,
711.71,104.23,9.74,104.17,9.8,,
711.72,104.25,9.74,104.46,9.8,,
711.75,104.25,9.74,104.29,9.8,,
711.76,104.08,9.74,104.14,9.8,,
711.79,104.23,9.61,104.16,9.8,,
711.8,104.22,9.61,104.14,9.8,,
711.83,104.03,9.74,104.16,9.8,,
711.84,104.42,9.74,104.16,9.8,,
711.86,104.27,9.61,104.16,9.8,,
711.88,104.23,9.61,104.33,9.8,,
711.9,104.05,9.61,104.37,9.8,,
711.91,104.05,9.61,104.33,9.8,,
711.94,104.19,9.73,104.33,9.79,,
711.95,104.07,9.73,104.34,9.79,,
711.98,104.17,9.61,104.34,9.8,,
711.99,104.23,9.61,104.13,9.8,,
712.02,104.25,9.6,104.25,9.79,,
712.03,103.87,9.6,104.34,9.79,,
712.05,104.17,9.74,104.33,9.8,,
712.07,104.27,9.74,103.96,9.8,,
712.09,104.2,9.61,104.14,9.81,,
712.1,104.3,9.61,104.16,9.81,,
712.13,104.19,9.74,104.14,9.8,,
712.14,104.42,9.74,104.33,9.8,,
712.17,104.22,9.61,104.16,9.8,,
712.18,104.2,9.61,104.36,9.8,,
712.21,104.38,9.74,104.31,9.8,,
712.22,104.45,9.74,104.34,9.8,,
712.25,104.19,9.61,104.31,9.8,,
712.26,104.27,9.61,104.29,9.8,,
712.28,104.22,9.73,104.14,9.8,,
712.29,104.19,9.73,104.13,9.8,,
712.32,104.35,9.61,104.31,9.8,,
