Time,RTD0,HTR0,RTD1,HTR1,scaledCurrent0,scaledCurrent1,drive_%_0,drive_%_1,setpoint,err count
8.330000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.330000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.340000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.340000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.350000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.350000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.360000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.360000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.370000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.370000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.380000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.380000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.390000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.390000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.390000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.400000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.400000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.410000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.410000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.420000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.420000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.430000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.430000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.440000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.440000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.450000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.450000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.460000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.460000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.470000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.470000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.470000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.480000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.480000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.490000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.490000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.500000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.500000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.510000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.510000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.520000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.520000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.520000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.530000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.530000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.540000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.550000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.550000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.550000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.560000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.560000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.570000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.570000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.580000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.580000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.590000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.590000,34.980000,85.400000,34.960000,89.400000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
